Date,Quarter,Close,PE,Median_PE_90,Median_PE_180,Median_PE_365
2007-10-01,2007-Q4,5.29202,12.02731818181818,12.989504545454546,13.630961363636365,13.470597727272729
2007-10-02,2007-Q4,5.29202,12.02731818181818,12.989504545454546,13.630961363636365,13.470597727272729
2007-10-03,2007-Q4,5.29202,12.02731818181818,12.949413636363635,13.630961363636365,13.470597727272729
2007-10-04,2007-Q4,5.29202,12.02731818181818,12.949413636363635,13.630961363636365,13.39041590909091
2007-10-05,2007-Q4,5.29202,12.02731818181818,12.949413636363635,13.630961363636365,13.39041590909091
2007-10-08,2007-Q4,5.29202,12.02731818181818,12.949413636363635,13.590870454545454,13.39041590909091
2007-10-09,2007-Q4,5.29202,12.02731818181818,12.949413636363635,13.550779545454544,13.39041590909091
2007-10-10,2007-Q4,5.29202,12.02731818181818,12.949413636363635,13.550779545454544,13.39041590909091
2007-10-11,2007-Q4,5.29202,12.02731818181818,12.949413636363635,13.550779545454544,13.39041590909091
2007-10-12,2007-Q4,5.29202,12.02731818181818,12.949413636363635,13.550779545454544,13.39041590909091
2007-10-15,2007-Q4,5.29202,12.02731818181818,12.949413636363635,13.550779545454544,13.39041590909091
2007-10-16,2007-Q4,5.29202,12.02731818181818,12.949413636363635,13.550779545454544,13.39041590909091
2007-10-17,2007-Q4,5.29202,12.02731818181818,12.949413636363635,13.550779545454544,13.39041590909091
2007-10-18,2007-Q4,5.29202,12.02731818181818,12.949413636363635,13.510688636363636,13.310234090909091
2007-10-19,2007-Q4,5.29202,12.02731818181818,12.909322727272729,13.470597727272729,13.310234090909091
2007-10-22,2007-Q4,5.29202,12.02731818181818,12.909322727272729,13.470597727272729,13.310234090909091
2007-10-23,2007-Q4,5.29202,12.02731818181818,12.869231818181818,13.470597727272729,13.310234090909091
2007-10-24,2007-Q4,5.29202,12.02731818181818,12.829140909090908,13.43050681818182,13.310234090909091
2007-10-25,2007-Q4,5.29202,12.02731818181818,12.78905,13.39041590909091,13.310234090909091
2007-10-26,2007-Q4,5.29202,12.02731818181818,12.748959090909093,13.39041590909091,13.310234090909091
2007-10-29,2007-Q4,5.29202,12.02731818181818,12.748959090909093,13.39041590909091,13.310234090909091
2007-10-30,2007-Q4,5.29202,12.02731818181818,12.748959090909093,13.39041590909091,13.310234090909091
2007-10-31,2007-Q4,5.29202,12.02731818181818,12.708867045454546,13.350325000000002,13.310234090909091
2007-11-01,2007-Q4,5.29202,12.02731818181818,12.708867045454546,13.310234090909091,13.310234090909091
2007-11-02,2007-Q4,5.29202,12.02731818181818,12.708867045454546,13.310234090909091,13.310234090909091
2007-11-05,2007-Q4,5.29202,12.02731818181818,12.62868409090909,13.270142045454543,13.310234090909091
2007-11-06,2007-Q4,5.29202,12.02731818181818,12.58859318181818,13.189959090909092,13.310234090909091
2007-11-07,2007-Q4,5.29202,12.02731818181818,12.58859318181818,13.109777272727277,13.310234090909091
2007-11-08,2007-Q4,5.29202,12.02731818181818,12.548502272727273,13.069686363636364,13.310234090909091
2007-11-09,2007-Q4,5.29202,12.02731818181818,12.508411363636364,13.069686363636364,13.310234090909091
2007-11-12,2007-Q4,5.29202,12.02731818181818,12.508411363636364,13.029595454545454,13.310234090909091
2007-11-13,2007-Q4,5.29202,12.02731818181818,12.267864772727272,12.989504545454546,13.310234090909091
2007-11-14,2007-Q4,5.29202,12.02731818181818,12.02731818181818,12.989504545454546,13.23005
2007-11-15,2007-Q4,5.29202,12.02731818181818,12.02731818181818,12.989504545454546,13.23005
2007-11-16,2007-Q4,5.29202,12.02731818181818,12.02731818181818,12.989504545454546,13.23005
2007-11-19,2007-Q4,5.29202,12.02731818181818,12.02731818181818,12.989504545454546,13.23005
2007-11-20,2007-Q4,5.29202,12.02731818181818,12.02731818181818,12.949413636363635,13.23005
2007-11-21,2007-Q4,5.29202,12.02731818181818,12.02731818181818,12.909322727272729,13.23005
2007-11-22,2007-Q4,5.29202,12.02731818181818,12.02731818181818,12.909322727272729,13.23005
2007-11-23,2007-Q4,5.29202,12.02731818181818,12.02731818181818,12.869231818181818,13.23005
2007-11-26,2007-Q4,5.29202,12.02731818181818,12.02731818181818,12.829140909090908,13.23005
2007-11-27,2007-Q4,5.29202,12.02731818181818,12.02731818181818,12.829140909090908,13.23005
2007-11-28,2007-Q4,5.29202,12.02731818181818,12.02731818181818,12.829140909090908,13.23005
2007-11-29,2007-Q4,5.29202,12.02731818181818,12.02731818181818,12.829140909090908,13.23005
2007-11-30,2007-Q4,5.29202,12.02731818181818,12.02731818181818,12.829140909090908,13.23005
2007-12-03,2007-Q4,5.29202,12.02731818181818,12.02731818181818,12.829140909090908,13.23005
2007-12-04,2007-Q4,5.29202,12.02731818181818,12.02731818181818,12.829140909090908,13.149868181818183
2007-12-05,2007-Q4,5.29202,12.02731818181818,12.02731818181818,12.829140909090908,13.149868181818183
2007-12-06,2007-Q4,5.29202,12.02731818181818,12.02731818181818,12.829140909090908,13.069686363636364
2007-12-07,2007-Q4,5.29202,12.02731818181818,12.02731818181818,12.829140909090908,13.069686363636364
2007-12-10,2007-Q4,5.29202,12.02731818181818,12.02731818181818,12.829140909090908,13.069686363636364
2007-12-11,2007-Q4,5.29202,12.02731818181818,12.02731818181818,12.829140909090908,13.069686363636364
2007-12-12,2007-Q4,5.29202,12.02731818181818,12.02731818181818,12.829140909090908,13.069686363636364
2007-12-13,2007-Q4,5.29202,12.02731818181818,12.02731818181818,12.829140909090908,13.069686363636364
2007-12-14,2007-Q4,5.29202,12.02731818181818,12.02731818181818,12.78905,13.069686363636364
2007-12-17,2007-Q4,5.29202,12.02731818181818,12.02731818181818,12.748959090909093,13.069686363636364
2007-12-18,2007-Q4,5.29202,12.02731818181818,12.02731818181818,12.748959090909093,13.069686363636364
2007-12-19,2007-Q4,5.29202,12.02731818181818,12.02731818181818,12.748959090909093,13.069686363636364
2007-12-20,2007-Q4,5.29202,12.02731818181818,12.02731818181818,12.708867045454546,13.069686363636364
2007-12-21,2007-Q4,5.29202,12.02731818181818,12.02731818181818,12.668775,12.989504545454546
2007-12-24,2007-Q4,5.29202,12.02731818181818,12.02731818181818,12.62868409090909,12.989504545454546
2007-12-25,2007-Q4,5.29202,12.02731818181818,12.02731818181818,12.58859318181818,12.989504545454546
2007-12-26,2007-Q4,5.29202,12.02731818181818,12.02731818181818,12.58859318181818,12.989504545454546
2007-12-27,2007-Q4,5.29202,12.02731818181818,12.02731818181818,12.58859318181818,12.989504545454546
2007-12-28,2007-Q4,5.29202,12.02731818181818,12.02731818181818,12.548502272727273,12.989504545454546
2007-12-31,2007-Q4,5.29202,12.02731818181818,12.02731818181818,12.508411363636364,12.989504545454546
2008-01-01,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.508411363636364,12.989504545454546
2008-01-02,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.508411363636364,12.989504545454546
2008-01-03,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.468320454545456,12.989504545454546
2008-01-04,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.428229545454546,12.989504545454546
2008-01-07,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.388138636363635,12.989504545454546
2008-01-08,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.348047727272728,12.989504545454546
2008-01-09,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.348047727272728,12.989504545454546
2008-01-10,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.187682954545457,12.989504545454546
2008-01-11,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.989504545454546
2008-01-14,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.989504545454546
2008-01-15,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.909322727272729
2008-01-16,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.909322727272729
2008-01-17,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.909322727272729
2008-01-18,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.909322727272729
2008-01-21,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.909322727272729
2008-01-22,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.829140909090908
2008-01-23,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.829140909090908
2008-01-24,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.829140909090908
2008-01-25,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.829140909090908
2008-01-28,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.829140909090908
2008-01-29,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.829140909090908
2008-01-30,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.829140909090908
2008-01-31,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.829140909090908
2008-02-01,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.829140909090908
2008-02-04,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.829140909090908
2008-02-05,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.829140909090908
2008-02-06,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.829140909090908
2008-02-07,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.748959090909093
2008-02-08,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.748959090909093
2008-02-11,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.748959090909093
2008-02-12,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.748959090909093
2008-02-13,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.748959090909093
2008-02-14,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.748959090909093
2008-02-15,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.748959090909093
2008-02-18,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.748959090909093
2008-02-19,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.748959090909093
2008-02-20,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.748959090909093
2008-02-21,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.748959090909093
2008-02-22,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.748959090909093
2008-02-25,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.748959090909093
2008-02-26,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.748959090909093
2008-02-27,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.748959090909093
2008-02-28,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.748959090909093
2008-02-29,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.748959090909093
2008-03-03,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.748959090909093
2008-03-04,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.748959090909093
2008-03-05,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.748959090909093
2008-03-06,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.668775
2008-03-07,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.668775
2008-03-10,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.668775
2008-03-11,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.668775
2008-03-12,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.668775
2008-03-13,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.668775
2008-03-14,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.668775
2008-03-17,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.668775
2008-03-18,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.668775
2008-03-19,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.668775
2008-03-20,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.668775
2008-03-21,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.668775
2008-03-24,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.58859318181818
2008-03-25,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.58859318181818
2008-03-26,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.58859318181818
2008-03-27,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.58859318181818
2008-03-28,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.58859318181818
2008-03-31,2008-Q1,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.58859318181818
2008-04-01,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.58859318181818
2008-04-02,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.58859318181818
2008-04-03,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.58859318181818
2008-04-04,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.58859318181818
2008-04-07,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.58859318181818
2008-04-08,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.58859318181818
2008-04-09,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.58859318181818
2008-04-10,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.508411363636364
2008-04-11,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.508411363636364
2008-04-14,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.508411363636364
2008-04-15,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.508411363636364
2008-04-16,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.508411363636364
2008-04-17,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.508411363636364
2008-04-18,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.508411363636364
2008-04-21,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.508411363636364
2008-04-22,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.428229545454546
2008-04-23,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.428229545454546
2008-04-24,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.348047727272728
2008-04-25,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.348047727272728
2008-04-28,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.348047727272728
2008-04-29,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.348047727272728
2008-04-30,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.348047727272728
2008-05-01,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.348047727272728
2008-05-02,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.348047727272728
2008-05-05,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.348047727272728
2008-05-06,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.348047727272728
2008-05-07,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.348047727272728
2008-05-08,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.348047727272728
2008-05-09,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.348047727272728
2008-05-12,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.348047727272728
2008-05-13,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.348047727272728
2008-05-14,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.348047727272728
2008-05-15,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.107502272727274
2008-05-16,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.107502272727274
2008-05-19,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.107502272727274
2008-05-20,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-05-21,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-05-22,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-05-23,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-05-26,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-05-27,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-05-28,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-05-29,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-05-30,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-06-02,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-06-03,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-06-04,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-06-05,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-06-06,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-06-09,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-06-10,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-06-11,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-06-12,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-06-13,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-06-16,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-06-17,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-06-18,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-06-19,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-06-20,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-06-23,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-06-24,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-06-25,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-06-26,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-06-27,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-06-30,2008-Q2,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-07-01,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-07-02,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-07-03,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-07-04,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-07-07,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-07-08,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-07-09,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-07-10,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-07-11,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-07-14,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-07-15,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-07-16,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-07-17,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-07-18,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-07-21,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-07-22,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-07-23,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-07-24,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-07-25,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-07-28,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-07-29,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-07-30,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-07-31,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-08-01,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-08-04,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-08-05,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-08-06,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-08-07,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-08-08,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-08-11,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-08-12,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-08-13,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-08-14,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-08-15,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-08-18,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-08-19,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-08-20,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-08-21,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-08-22,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-08-25,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-08-26,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-08-27,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-08-28,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-08-29,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-09-01,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-09-02,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-09-03,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-09-04,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-09-05,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-09-08,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-09-09,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-09-10,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-09-11,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-09-12,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-09-15,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-09-16,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-09-17,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-09-18,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-09-19,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-09-22,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-09-23,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-09-24,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-09-25,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-09-26,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-09-29,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-09-30,2008-Q3,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-10-01,2008-Q4,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-10-02,2008-Q4,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-10-03,2008-Q4,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-10-06,2008-Q4,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-10-07,2008-Q4,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-10-08,2008-Q4,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-10-09,2008-Q4,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-10-10,2008-Q4,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-10-13,2008-Q4,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-10-14,2008-Q4,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-10-15,2008-Q4,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-10-16,2008-Q4,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
2008-10-17,2008-Q4,5.29202,12.02731818181818,12.02731818181818,12.02731818181818,12.02731818181818
