Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2009-05-05,25.9,25.9,25.9,25.9,,,,,,0
2009-05-06,25.9,25.9,25.9,25.9,,,,,,0
2009-05-07,25.9,25.9,25.9,25.9,,,,,,0
2009-05-08,25.9,25.9,25.9,25.9,,,,,,0
2009-05-11,25.9,25.9,25.9,25.9,,,,,,0
2009-05-12,25.9,25.9,25.9,25.9,,,,,,0
2009-05-13,25.9,25.9,25.9,25.9,,,,,,0
2009-05-14,25.9,25.9,25.9,25.9,,,,,,0
2009-05-15,25.9,25.9,25.9,25.9,,,,,,0
2009-05-18,25.9,25.9,25.9,25.9,,,,,,0
2009-05-19,25.9,25.9,25.9,25.9,,,,,,0
2009-05-20,25.9,25.9,25.9,25.9,,,,,,0
2009-05-21,25.9,25.9,25.9,25.9,,,,,,0
2009-05-22,25.9,25.9,25.9,25.9,,,,,,0
2009-05-25,25.9,25.9,25.9,25.9,,,,,,0
2009-05-26,25.9,25.9,25.9,25.9,,,,,,0
2009-05-27,25.9,25.9,25.9,25.9,,,,,,0
2009-05-28,25.9,25.9,25.9,25.9,,,,,,0
2009-05-29,25.9,25.9,25.9,25.9,,,,,,0
2009-06-01,25.9,25.9,25.9,25.9,,,,,,0
2009-06-02,25.9,25.9,25.9,25.9,,,,,,0
2009-06-03,25.9,25.9,25.9,25.9,,,,,,0
2009-06-04,25.9,25.9,25.9,25.9,,,,,,0
2009-06-05,25.9,25.9,25.9,25.9,,,,,,0
2009-06-08,25.9,25.9,25.9,25.9,,,,,,0
2009-06-09,25.9,25.9,25.9,25.9,,,,,,0
2009-06-10,25.9,25.9,25.9,25.9,,,,,,0
2009-06-11,25.9,25.9,25.9,25.9,,,,,,0
2009-06-12,25.9,25.9,25.9,25.9,,,,,,0
2009-06-15,25.9,25.9,25.9,25.9,,,,,,0
2009-06-16,25.9,25.9,25.9,25.9,,,,,,0
2009-06-17,25.9,25.9,25.9,25.9,,,,,,0
2009-06-18,25.9,25.9,25.9,25.9,,,,,,0
2009-06-19,25.9,25.9,25.9,25.9,,,,,,0
2009-06-22,25.9,25.9,25.9,25.9,,,,,,0
2009-06-23,25.9,25.9,25.9,25.9,,,,,,0
2009-06-24,25.9,25.9,25.9,25.9,,,,,,0
2009-06-25,25.9,25.9,25.9,25.9,,,,,,0
2009-06-26,25.9,25.9,25.9,25.9,,,,,,0
2009-06-29,25.9,25.9,25.9,25.9,,,,,,0
2009-06-30,25.9,25.9,25.9,25.9,,,,,,0
2009-07-01,25.9,25.9,25.9,25.9,,,,,,0
2009-07-02,25.9,25.9,25.9,25.9,,,,,,0
2009-07-03,25.9,25.9,25.9,25.9,,,,,,0
2009-07-06,25.9,25.9,25.9,25.9,,,,,,0
2009-07-07,25.9,25.9,25.9,25.9,,,,,,0
2009-07-08,25.9,25.9,25.9,25.9,,,,,,0
2009-07-09,25.9,25.9,25.9,25.9,,,,,,0
2009-07-10,25.9,25.9,25.9,25.9,,,,,,0
2009-07-13,25.9,25.9,25.9,25.9,,,,,,0
2009-07-14,25.9,25.9,25.9,25.9,,,,,,0
2009-07-15,25.9,25.9,25.9,25.9,,,,,,0
2009-07-16,25.9,25.9,25.9,25.9,,,,,,0
2009-07-17,25.9,25.9,25.9,25.9,,,,,,0
2009-07-20,25.9,25.9,25.9,25.9,,,,,,0
2009-07-21,25.9,25.9,25.9,25.9,,,,,,0
2009-07-22,25.9,25.9,25.9,25.9,,,,,,0
2009-07-23,25.9,25.9,25.9,25.9,,,,,,0
2009-07-24,25.9,25.9,25.9,25.9,,,,,,0
2009-07-27,25.9,25.9,25.9,25.9,,,,,,0
2009-07-28,25.9,25.9,25.9,25.9,,,,,,0
2009-07-29,25.9,25.9,25.9,25.9,,,,,,0
2009-07-30,25.9,25.9,25.9,25.9,,,,,,0
2009-07-31,25.9,25.9,25.9,25.9,,,,,,0
2009-08-03,25.9,25.9,25.9,25.9,,,,,,0
2009-08-04,25.9,25.9,25.9,25.9,,,,,,0
2009-08-05,25.9,25.9,25.9,25.9,,,,,,0
2009-08-06,25.9,25.9,25.9,25.9,,,,,,0
2009-08-07,25.9,25.9,25.9,25.9,,,,,,0
2009-08-10,25.9,25.9,25.9,25.9,,,,,,0
2009-08-11,25.9,25.9,25.9,25.9,,,,,,0
2009-08-12,25.9,25.9,25.9,25.9,,,,,,0
2009-08-13,25.9,25.9,25.9,25.9,,,,,,0
2009-08-14,25.9,25.9,25.9,25.9,,,,,,0
2009-08-17,25.9,25.9,25.9,25.9,,,,,,0
2009-08-18,25.9,25.9,25.9,25.9,,,,,,0
2009-08-19,25.9,25.9,25.9,25.9,,,,,,0
2009-08-20,25.9,25.9,25.9,25.9,,,,,,0
2009-08-21,25.9,25.9,25.9,25.9,,,,,,0
2009-08-24,25.9,25.9,25.9,25.9,,,,,,0
2009-08-25,25.9,25.9,25.9,25.9,,,,,,0
2009-08-26,25.9,25.9,25.9,25.9,,,,,,0
2009-08-27,25.9,25.9,25.9,25.9,,,,,,0
2009-08-28,25.9,25.9,25.9,25.9,,,,,,0
2009-08-31,25.9,25.9,25.9,25.9,,,,,,0
2009-09-01,25.9,25.9,25.9,25.9,,,,,,0
2009-09-02,25.9,25.9,25.9,25.9,,,,,,0
2009-09-03,25.9,25.9,25.9,25.9,,,,,,0
2009-09-04,25.9,25.9,25.9,25.9,,,,,,0
2009-09-07,25.9,25.9,25.9,25.9,,,,,,0
2009-09-08,25.9,25.9,25.9,25.9,,,,,,0
2009-09-09,25.9,25.9,25.9,25.9,,,,,,0
2009-09-10,25.9,25.9,25.9,25.9,,,,,,0
2009-09-11,25.9,25.9,25.9,25.9,,,,,,0
2009-09-14,25.9,25.9,25.9,25.9,,,,,,0
2009-09-15,25.9,25.9,25.9,25.9,,,,,,0
2009-09-16,25.9,25.9,25.9,25.9,,,,,,0
2009-09-17,25.9,25.9,25.9,25.9,,,,,,0
2009-09-18,25.9,25.9,25.9,25.9,,,,,,0
2009-09-21,25.9,25.9,25.9,25.9,,,,,,0
2009-09-22,25.9,25.9,25.9,25.9,,,,,,0
2009-09-23,25.9,25.9,25.9,25.9,,,,,,0
2009-09-24,25.9,25.9,25.9,25.9,,,,,,0
2009-09-25,25.9,25.9,25.9,25.9,,,,,,0
2009-09-28,25.9,25.9,25.9,25.9,,,,,,0
2009-09-29,25.9,25.9,25.9,25.9,,,,,,0
2009-09-30,25.9,25.9,25.9,25.9,,,,,,0
2009-10-01,25.9,25.9,25.9,25.9,,,,,,0
2009-10-02,25.9,25.9,25.9,25.9,,,,,,0
2009-10-05,25.9,25.9,25.9,25.9,,,,,,0
2009-10-06,25.9,25.9,25.9,25.9,,,,,,0
2009-10-07,25.9,25.9,25.9,25.9,,,,,,0
2009-10-08,25.9,25.9,25.9,25.9,,,,,,0
2009-10-09,25.9,25.9,25.9,25.9,,,,,,0
2009-10-12,25.9,25.9,25.9,25.9,,,,,,0
2009-10-13,25.9,25.9,25.9,25.9,,,,,,0
2009-10-14,25.9,25.9,25.9,25.9,,,,,,0
2009-10-15,25.9,25.9,25.9,25.9,,,,,,0
2009-10-16,25.9,25.9,25.9,25.9,,,,,,0
2009-10-17,25.9,25.9,25.9,25.9,,,,,,0
2009-10-19,25.9,25.9,25.9,25.9,,,,,,0
2009-10-20,25.9,25.9,25.9,25.9,,,,,,0
2009-10-21,25.9,25.9,25.9,25.9,,,,,,0
2009-10-22,25.9,25.9,25.9,25.9,,,,,,0
2009-10-23,25.9,25.9,25.9,25.9,,,,,,0
2009-10-26,25.9,25.9,25.9,25.9,,,,,,0
2009-10-27,25.9,25.9,25.9,25.9,,,,,,0
2009-10-28,25.9,25.9,25.9,25.9,,,,,,0
2009-10-29,25.9,25.9,25.9,25.9,,,,,,0
2009-10-30,25.9,25.9,25.9,25.9,,,,,,0
2009-11-02,25.9,25.9,25.9,25.9,,,,,,0
2009-11-03,25.9,25.9,25.9,25.9,,,,,,0
2009-11-04,25.9,25.9,25.9,25.9,,,,,,0
2009-11-05,25.9,25.9,25.9,25.9,,,,,,0
2009-11-06,25.9,25.9,25.9,25.9,,,,,,0
2009-11-09,25.9,25.9,25.9,25.9,,,,,,0
2009-11-10,25.9,25.9,25.9,25.9,,,,,,0
2009-11-11,25.9,25.9,25.9,25.9,,,,,,0
2009-11-12,25.9,25.9,25.9,25.9,,,,,,0
2009-11-13,25.9,25.9,25.9,25.9,,,,,,0
2009-11-16,25.9,25.9,25.9,25.9,,,,,,0
2009-11-17,25.9,25.9,25.9,25.9,,,,,,0
2009-11-18,25.9,25.9,25.9,25.9,,,,,,0
2009-11-19,25.9,25.9,25.9,25.9,,,,,,0
2009-11-20,25.9,25.9,25.9,25.9,,,,,,0
2009-11-23,25.9,25.9,25.9,25.9,,,,,,0
2009-11-24,25.9,25.9,25.9,25.9,,,,,,0
2009-11-25,25.9,25.9,25.9,25.9,,,,,,0
2009-11-26,25.9,25.9,25.9,25.9,,,,,,0
2009-11-27,25.9,25.9,25.9,25.9,,,,,,0
2009-11-30,25.9,25.9,25.9,25.9,,,,,,0
2009-12-01,25.9,25.9,25.9,25.9,,,,,,0
2009-12-02,25.9,25.9,25.9,25.9,,,,,,0
2009-12-03,25.9,25.9,25.9,25.9,,,,,,0
2009-12-04,25.9,25.9,25.9,25.9,,,,,,0
2009-12-07,25.9,25.9,25.9,25.9,,,,,,0
2009-12-08,25.9,25.9,25.9,25.9,,,,,,0
2009-12-09,25.9,25.9,25.9,25.9,,,,,,0
2009-12-10,25.9,25.9,25.9,25.9,,,,,,0
2009-12-11,25.9,25.9,25.9,25.9,,,,,,0
2009-12-14,25.9,25.9,25.9,25.9,,,,,,0
2009-12-15,25.9,25.9,25.9,25.9,,,,,,0
2009-12-16,25.9,25.9,25.9,25.9,,,,,,0
2009-12-17,25.9,25.9,25.9,25.9,,,,,,0
2009-12-18,25.9,25.9,25.9,25.9,,,,,,0
2009-12-21,25.9,25.9,25.9,25.9,,,,,,0
2009-12-22,25.9,25.9,25.9,25.9,,,,,,0
2009-12-23,25.9,25.9,25.9,25.9,,,,,,0
2009-12-24,25.9,25.9,25.9,25.9,,,,,,0
2009-12-25,25.9,25.9,25.9,25.9,,,,,,0
2009-12-28,25.9,25.9,25.9,25.9,,,,,,0
2009-12-29,25.9,25.9,25.9,25.9,,,,,,0
2009-12-30,25.9,25.9,25.9,25.9,,,,,,0
2009-12-31,25.9,25.9,25.9,25.9,,,,,,0
2010-01-01,25.9,25.9,25.9,25.9,,,,,,0
2010-01-04,25.9,25.9,25.9,25.9,,,,,,0
2010-01-05,25.9,25.9,25.9,25.9,,,,,,0
2010-01-06,25.9,25.9,25.9,25.9,,,,,,0
2010-01-07,25.9,25.9,25.9,25.9,,,,,,0
2010-01-08,25.9,25.9,25.9,25.9,,,,,,0
2010-01-11,25.9,25.9,25.9,25.9,,,,,,0
2010-01-12,25.9,25.9,25.9,25.9,,,,,,0
2010-01-13,25.9,25.9,25.9,25.9,,,,,,0
2010-01-14,25.9,25.9,25.9,25.9,,,,,,0
2010-01-15,25.9,25.9,25.9,25.9,,,,,,0
2010-01-18,25.9,25.9,25.9,25.9,,,,,,0
2010-01-19,25.9,25.9,25.9,25.9,,,,,,0
2010-01-20,25.9,25.9,25.9,25.9,,,,,,0
2010-01-21,25.9,25.9,25.9,25.9,,,,,,0
2010-01-22,25.9,25.9,25.9,25.9,,,,,,0
2010-01-25,25.9,25.9,25.9,25.9,,,,,,0
2010-01-26,25.9,25.9,25.9,25.9,,,,,,0
2010-01-27,25.9,25.9,25.9,25.9,,,,,,0
2010-01-28,25.9,25.9,25.9,25.9,,,,,,0
2010-01-29,25.9,25.9,25.9,25.9,,,,,,0
2010-02-01,25.9,25.9,25.9,25.9,,,,,,0
2010-02-02,25.9,25.9,25.9,25.9,,,,,,0
2010-02-03,25.9,25.9,25.9,25.9,,,,,,0
2010-02-04,25.9,25.9,25.9,25.9,,,,,,0
2010-02-05,25.9,25.9,25.9,25.9,,,,,,0
2010-02-06,25.9,25.9,25.9,25.9,,,,,,0
2010-02-08,25.9,25.9,25.9,25.9,,,,,,0
2010-02-09,25.9,25.9,25.9,25.9,,,,,,0
2010-02-10,25.9,25.9,25.9,25.9,,,,,,0
2010-02-11,25.9,25.9,25.9,25.9,,,,,,0
2010-02-12,25.9,25.9,25.9,25.9,,,,,,0
2010-02-15,25.9,25.9,25.9,25.9,,,,,,0
2010-02-16,25.9,25.9,25.9,25.9,,,,,,0
2010-02-17,25.9,25.9,25.9,25.9,,,,,,0
2010-02-18,25.9,25.9,25.9,25.9,,,,,,0
2010-02-19,25.9,25.9,25.9,25.9,,,,,,0
2010-02-22,25.9,25.9,25.9,25.9,,,,,,0
2010-02-23,25.9,25.9,25.9,25.9,,,,,,0
2010-02-24,25.9,25.9,25.9,25.9,,,,,,0
2010-02-25,25.9,25.9,25.9,25.9,,,,,,0
2010-02-26,25.9,25.9,25.9,25.9,,,,,,0
2010-03-01,25.9,25.9,25.9,25.9,,,,,,0
2010-03-02,25.9,25.9,25.9,25.9,,,,,,0
2010-03-03,25.9,25.9,25.9,25.9,,,,,,0
2010-03-04,25.9,25.9,25.9,25.9,,,,,,0
2010-03-05,25.9,25.9,25.9,25.9,,,,,,0
2010-03-08,25.9,25.9,25.9,25.9,,,,,,0
2010-03-09,25.9,25.9,25.9,25.9,,,,,,0
2010-03-10,25.9,25.9,25.9,25.9,,,,,,0
2010-03-11,25.9,25.9,25.9,25.9,,,,,,0
2010-03-12,25.9,25.9,25.9,25.9,,,,,,0
2010-03-15,25.9,25.9,25.9,25.9,,,,,,0
2010-03-16,25.9,25.9,25.9,25.9,,,,,,0
2010-03-17,25.9,25.9,25.9,25.9,,,,,,0
2010-03-18,25.9,25.9,25.9,25.9,,,,,,0
2010-03-19,25.9,25.9,25.9,25.9,,,,,,0
2010-03-22,25.9,25.9,25.9,25.9,,,,,,0
2010-03-23,25.9,25.9,25.9,25.9,,,,,,0
2010-03-24,25.9,25.9,25.9,25.9,,,,,,0
2010-03-25,25.9,25.9,25.9,25.9,,,,,,0
2010-03-26,25.9,25.9,25.9,25.9,,,,,,0
2010-03-29,25.9,25.9,25.9,25.9,,,,,,0
2010-03-30,25.9,25.9,25.9,25.9,,,,,,0
2010-03-31,25.9,25.9,25.9,25.9,,,,,,0
2010-04-01,25.9,25.9,25.9,25.9,,,,,,0
2010-04-02,25.9,25.9,25.9,25.9,,,,,,0
2010-04-05,25.9,25.9,25.9,25.9,,,,,,0
2010-04-06,25.9,25.9,25.9,25.9,,,,,,0
2010-04-07,25.9,25.9,25.9,25.9,,,,,,0
2010-04-08,25.9,25.9,25.9,25.9,,,,,,0
2010-04-09,25.9,25.9,25.9,25.9,,,,,,0
2010-04-12,25.9,25.9,25.9,25.9,,,,,,0
2010-04-13,25.9,25.9,25.9,25.9,,,,,,0
2010-04-14,25.9,25.9,25.9,25.9,,,,,,0
2010-04-15,25.9,25.9,25.9,25.9,,,,,,0
2010-04-16,25.9,25.9,25.9,25.9,,,,,,0
2010-04-19,25.9,25.9,25.9,25.9,,,,,,0
2010-04-20,25.9,25.9,25.9,25.9,,,,,,0
2010-04-21,25.9,25.9,25.9,25.9,,,,,,0
2010-04-22,25.9,25.9,25.9,25.9,,,,,,0
2010-04-23,25.9,25.9,25.9,25.9,,,,,,0
2010-04-26,25.9,25.9,25.9,25.9,,,,,,0
2010-04-27,25.9,25.9,25.9,25.9,,,,,,0
2010-04-28,25.9,25.9,25.9,25.9,,,,,,0
2010-04-29,25.9,25.9,25.9,25.9,,,,,,0
2010-04-30,25.9,25.9,25.9,25.9,,,,,,0
2010-05-03,25.9,25.9,25.9,25.9,,,,,,0
2010-05-04,25.9,25.9,25.9,25.9,,,,,,0
2010-05-05,25.9,25.9,25.9,25.9,,,,,,0
2010-05-06,25.9,25.9,25.9,25.9,,,,,,0
2010-05-07,25.9,25.9,25.9,25.9,,,,,,0
2010-05-10,25.9,25.9,25.9,25.9,,,,,,0
2010-05-11,25.9,25.9,25.9,25.9,,,,,,0
2010-05-12,25.9,25.9,25.9,25.9,,,,,,0
2010-05-13,25.9,25.9,25.9,25.9,,,,,,0
2010-05-14,25.9,25.9,25.9,25.9,,,,,,0
2010-05-17,25.9,25.9,25.9,25.9,,,,,,0
2010-05-18,25.9,25.9,25.9,25.9,,,,,,0
2010-05-19,25.9,25.9,25.9,25.9,,,,,,0
2010-05-20,25.9,25.9,25.9,25.9,,,,,,0
2010-05-21,25.9,25.9,25.9,25.9,,,,,,0
2010-05-24,25.9,25.9,25.9,25.9,,,,,,0
2010-05-25,25.9,25.9,25.9,25.9,,,,,,0
2010-05-26,25.9,25.9,25.9,25.9,,,,,,0
2010-05-27,25.9,25.9,25.9,25.9,,,,,,0
2010-05-28,25.9,25.9,25.9,25.9,,,,,,0
2010-05-31,25.9,25.9,25.9,25.9,,,,,,0
2010-06-01,25.9,25.9,25.9,25.9,,,,,,0
2010-06-02,25.9,25.9,25.9,25.9,,,,,,0
2010-06-03,25.9,25.9,25.9,25.9,,,,,,0
2010-06-04,25.9,25.9,25.9,25.9,,,,,,0
2010-06-07,25.9,25.9,25.9,25.9,,,,,,0
2010-06-08,25.9,25.9,25.9,25.9,,,,,,0
2010-06-09,25.9,25.9,25.9,25.9,,,,,,0
2010-06-10,25.9,25.9,25.9,25.9,,,,,,0
2010-06-11,25.9,25.9,25.9,25.9,,,,,,0
2010-06-14,25.9,25.9,25.9,25.9,,,,,,0
2010-06-15,25.9,25.9,25.9,25.9,,,,,,0
2010-06-16,25.9,25.9,25.9,25.9,,,,,,0
2010-06-17,25.9,25.9,25.9,25.9,,,,,,0
2010-06-18,25.9,25.9,25.9,25.9,,,,,,0
2010-06-21,25.9,25.9,25.9,25.9,,,,,,0
2010-06-22,25.9,25.9,25.9,25.9,,,,,,0
2010-06-23,25.9,25.9,25.9,25.9,,,,,,0
2010-06-24,25.9,25.9,25.9,25.9,,,,,,0
2010-06-25,25.9,25.9,25.9,25.9,,,,,,0
2010-06-28,25.9,25.9,25.9,25.9,,,,,,0
2010-06-29,25.9,25.9,25.9,25.9,,,,,,0
2010-06-30,25.9,25.9,25.9,25.9,,,,,,0
2010-07-01,25.9,25.9,25.9,25.9,,,,,,0
2010-07-02,25.9,25.9,25.9,25.9,,,,,,0
2010-07-05,25.9,25.9,25.9,25.9,,,,,,0
2010-07-06,25.9,25.9,25.9,25.9,,,,,,0
2010-07-07,25.9,25.9,25.9,25.9,,,,,,0
2010-07-08,25.9,25.9,25.9,25.9,,,,,,0
2010-07-09,25.9,25.9,25.9,25.9,,,,,,0
2010-07-12,25.9,25.9,25.9,25.9,,,,,,0
2010-07-13,25.9,25.9,25.9,25.9,,,,,,0
2010-07-14,25.9,25.9,25.9,25.9,,,,,,0
2010-07-15,25.9,25.9,25.9,25.9,,,,,,0
2010-07-16,25.9,25.9,25.9,25.9,,,,,,0
2010-07-19,25.9,25.9,25.9,25.9,,,,,,0
2010-07-20,25.9,25.9,25.9,25.9,,,,,,0
2010-07-21,25.9,25.9,25.9,25.9,,,,,,0
2010-07-22,25.9,25.9,25.9,25.9,,,,,,0
2010-07-23,25.9,25.9,25.9,25.9,,,,,,0
2010-07-26,25.9,25.9,25.9,25.9,,,,,,0
2010-07-27,25.9,25.9,25.9,25.9,,,,,,0
2010-07-28,25.9,25.9,25.9,25.9,,,,,,0
2010-07-29,25.9,25.9,25.9,25.9,,,,,,0
2010-07-30,25.9,25.9,25.9,25.9,,,,,,0
2010-08-02,25.9,25.9,25.9,25.9,,,,,,0
2010-08-03,25.9,25.9,25.9,25.9,,,,,,0
2010-08-04,25.9,25.9,25.9,25.9,,,,,,0
2010-08-05,25.9,25.9,25.9,25.9,,,,,,0
2010-08-06,25.9,25.9,25.9,25.9,,,,,,0
2010-08-09,25.9,25.9,25.9,25.9,,,,,,0
2010-08-10,25.9,25.9,25.9,25.9,,,,,,0
2010-08-11,25.9,25.9,25.9,25.9,,,,,,0
2010-08-12,25.9,25.9,25.9,25.9,,,,,,0
2010-08-13,25.9,25.9,25.9,25.9,,,,,,0
2010-08-16,25.9,25.9,25.9,25.9,,,,,,0
2010-08-17,25.9,25.9,25.9,25.9,,,,,,0
2010-08-18,25.9,25.9,25.9,25.9,,,,,,0
2010-08-19,25.9,25.9,25.9,25.9,,,,,,0
2010-08-20,25.9,25.9,25.9,25.9,,,,,,0
2010-08-23,25.9,25.9,25.9,25.9,,,,,,0
2010-08-24,25.9,25.9,25.9,25.9,,,,,,0
2010-08-25,25.9,25.9,25.9,25.9,,,,,,0
2010-08-26,25.9,25.9,25.9,25.9,,,,,,0
2010-08-27,25.9,25.9,25.9,25.9,,,,,,0
2010-08-30,25.9,25.9,25.9,25.9,,,,,,0
2010-08-31,25.9,25.9,25.9,25.9,,,,,,0
2010-09-01,25.9,25.9,25.9,25.9,,,,,,0
2010-09-02,25.9,25.9,25.9,25.9,,,,,,0
2010-09-03,25.9,25.9,25.9,25.9,,,,,,0
2010-09-06,25.9,25.9,25.9,25.9,,,,,,0
2010-09-07,25.9,25.9,25.9,25.9,,,,,,0
2010-09-08,25.9,25.9,25.9,25.9,,,,,,0
2010-09-09,25.9,25.9,25.9,25.9,,,,,,0
2010-09-10,25.9,25.9,25.9,25.9,,,,,,0
2010-09-13,25.9,25.9,25.9,25.9,,,,,,0
2010-09-14,25.9,25.9,25.9,25.9,,,,,,0
2010-09-15,25.9,25.9,25.9,25.9,,,,,,0
2010-09-16,25.9,25.9,25.9,25.9,,,,,,0
2010-09-17,25.9,25.9,25.9,25.9,,,,,,0
2010-09-20,25.9,25.9,25.9,25.9,,,,,,0
2010-09-21,25.9,25.9,25.9,25.9,,,,,,0
2010-09-22,25.9,25.9,25.9,25.9,,,,,,0
2010-09-23,25.9,25.9,25.9,25.9,,,,,,0
2010-09-24,25.9,25.9,25.9,25.9,,,,,,0
2010-09-27,25.9,25.9,25.9,25.9,,,,,,0
2010-09-28,25.9,25.9,25.9,25.9,,,,,,0
2010-09-29,25.9,25.9,25.9,25.9,,,,,,0
2010-09-30,25.9,25.9,25.9,25.9,,,,,,0
2010-10-01,25.9,25.9,25.9,25.9,,,,,,0
2010-10-04,25.9,25.9,25.9,25.9,,,,,,0
2010-10-05,25.9,25.9,25.9,25.9,,,,,,0
2010-10-06,25.9,25.9,25.9,25.9,,,,,,0
2010-10-07,25.9,25.9,25.9,25.9,,,,,,0
2010-10-08,25.9,25.9,25.9,25.9,,,,,,0
2010-10-11,25.9,25.9,25.9,25.9,,,,,,0
2010-10-12,25.9,25.9,25.9,25.9,,,,,,0
2010-10-13,25.9,25.9,25.9,25.9,,,,,,0
2010-10-14,25.9,25.9,25.9,25.9,,,,,,0
2010-10-15,25.9,25.9,25.9,25.9,,,,,,0
2010-10-18,25.9,25.9,25.9,25.9,,,,,,0
2010-10-19,25.9,25.9,25.9,25.9,,,,,,0
2010-10-20,25.9,25.9,25.9,25.9,,,,,,0
2010-10-21,25.9,25.9,25.9,25.9,,,,,,0
2010-10-22,25.9,25.9,25.9,25.9,,,,,,0
2010-10-25,25.9,25.9,25.9,25.9,,,,,,0
2010-10-26,25.9,25.9,25.9,25.9,,,,,,0
2010-10-27,25.9,25.9,25.9,25.9,,,,,,0
2010-10-28,25.9,25.9,25.9,25.9,,,,,,0
2010-10-29,25.9,25.9,25.9,25.9,,,,,,0
2010-11-01,25.9,25.9,25.9,25.9,,,,,,0
2010-11-02,25.9,25.9,25.9,25.9,,,,,,0
2010-11-03,25.9,25.9,25.9,25.9,,,,,,0
2010-11-04,25.9,25.9,25.9,25.9,,,,,,0
2010-11-05,25.9,25.9,25.9,25.9,,,,,,0
2010-11-08,25.9,25.9,25.9,25.9,,,,,,0
2010-11-09,25.9,25.9,25.9,25.9,,,,,,0
2010-11-10,25.9,25.9,25.9,25.9,,,,,,0
2010-11-11,25.9,25.9,25.9,25.9,,,,,,0
2010-11-12,25.9,25.9,25.9,25.9,,,,,,0
2010-11-15,25.9,25.9,25.9,25.9,,,,,,0
2010-11-16,25.9,25.9,25.9,25.9,,,,,,0
2010-11-17,25.9,25.9,25.9,25.9,,,,,,0
2010-11-18,25.9,25.9,25.9,25.9,,,,,,0
2010-11-19,25.9,25.9,25.9,25.9,,,,,,0
2010-11-22,25.9,25.9,25.9,25.9,,,,,,0
2010-11-23,25.9,25.9,25.9,25.9,,,,,,0
2010-11-24,25.9,25.9,25.9,25.9,,,,,,0
2010-11-25,25.9,25.9,25.9,25.9,,,,,,0
2010-11-26,25.9,25.9,25.9,25.9,,,,,,0
2010-11-29,25.9,25.9,25.9,25.9,,,,,,0
2010-11-30,25.9,25.9,25.9,25.9,,,,,,0
2010-12-01,25.9,25.9,25.9,25.9,,,,,,0
2010-12-02,25.9,25.9,25.9,25.9,,,,,,0
2010-12-03,25.9,25.9,25.9,25.9,,,,,,0
2010-12-06,25.9,25.9,25.9,25.9,,,,,,0
2010-12-07,25.9,25.9,25.9,25.9,,,,,,0
2010-12-08,25.9,25.9,25.9,25.9,,,,,,0
2010-12-09,25.9,25.9,25.9,25.9,,,,,,0
2010-12-10,25.9,25.9,25.9,25.9,,,,,,0
2010-12-13,25.9,25.9,25.9,25.9,,,,,,0
2010-12-14,25.9,25.9,25.9,25.9,,,,,,0
2010-12-15,25.9,25.9,25.9,25.9,,,,,,0
2010-12-16,25.9,25.9,25.9,25.9,,,,,,0
2010-12-17,25.9,25.9,25.9,25.9,,,,,,0
2010-12-20,25.9,25.9,25.9,25.9,,,,,,0
2010-12-21,25.9,25.9,25.9,25.9,,,,,,0
2010-12-22,25.9,25.9,25.9,25.9,,,,,,0
2010-12-23,25.9,25.9,25.9,25.9,,,,,,0
2010-12-24,25.9,25.9,25.9,25.9,,,,,,0
2010-12-27,25.9,25.9,25.9,25.9,,,,,,0
2010-12-28,25.9,25.9,25.9,25.9,,,,,,0
2010-12-29,25.9,25.9,25.9,25.9,,,,,,0
2010-12-30,25.9,25.9,25.9,25.9,,,,,,0
2010-12-31,25.9,25.9,25.9,25.9,,,,,,0
2011-01-03,25.9,25.9,25.9,25.9,,,,,,0
2011-01-04,25.9,25.9,25.9,25.9,,,,,,0
2011-01-05,25.9,25.9,25.9,25.9,,,,,,0
2011-01-06,25.9,25.9,25.9,25.9,,,,,,0
2011-01-07,25.9,25.9,25.9,25.9,,,,,,0
2011-01-10,25.9,25.9,25.9,25.9,,,,,,0
2011-01-11,25.9,25.9,25.9,25.9,,,,,,0
2011-01-12,25.9,25.9,25.9,25.9,,,,,,0
2011-01-13,25.9,25.9,25.9,25.9,,,,,,0
2011-01-14,25.9,25.9,25.9,25.9,,,,,,0
2011-01-17,25.9,25.9,25.9,25.9,,,,,,0
2011-01-18,25.9,25.9,25.9,25.9,,,,,,0
2011-01-19,25.9,25.9,25.9,25.9,,,,,,0
2011-01-20,25.9,25.9,25.9,25.9,,,,,,0
2011-01-21,25.9,25.9,25.9,25.9,,,,,,0
2011-01-24,25.9,25.9,25.9,25.9,,,,,,0
2011-01-25,25.9,25.9,25.9,25.9,,,,,,0
2011-01-26,25.9,25.9,25.9,25.9,,,,,,0
2011-01-27,25.9,25.9,25.9,25.9,,,,,,0
2011-01-28,25.9,25.9,25.9,25.9,,,,,,0
2011-01-31,25.9,25.9,25.9,25.9,,,,,,0
2011-02-01,25.9,25.9,25.9,25.9,,,,,,0
2011-02-02,25.9,25.9,25.9,25.9,,,,,,0
2011-02-03,25.9,25.9,25.9,25.9,,,,,,0
2011-02-04,25.9,25.9,25.9,25.9,,,,,,0
2011-02-07,25.9,25.9,25.9,25.9,,,,,,0
2011-02-08,25.9,25.9,25.9,25.9,,,,,,0
2011-02-09,25.9,25.9,25.9,25.9,,,,,,0
